,PWEIGHT,PWEIGHT,PWEIGHT
ANYWORK,1,2,All
RECVDVACC,,,
1,64.95456795756883,51.229602647406644,116.18417060497517
2,80.24359551325736,50.73883031273357,130.98242582599204
All,145.19816347082596,101.96843296014003,247.16659643096548
