,-1,1,10,11,2,3,4,5,6,7,8,9
1,253565352,236031,160105,1245898,548814,65129,44366,6248,118336,847057,883859,518292
1,253877944,253690,178718,1133653,545255,40817,63481,16898,109371,780737,768012,623476
1,254368800,236274,134573,994736,545245,54929,97428,2965,65706,762812,735460,537820
1,254459982,166624,78853,1145604,536471,101620,99773,7378,87789,705790,835036,467942
1,254296818,148781,110871,1197744,453230,56003,53650,7265,81055,596423,1305455,553945
1,254231672,252427,143106,1333400,532315,88011,63163,27234,67332,737499,981092,579965
1,254629276,197079,116280,1452850,408302,90170,114384,11281,128870,907541,550380,618433
1,255011141,151438,127448,1416057,507117,75532,61681,5105,117934,757061,619771,581684
1,255626521,191689,148194,1125998,363177,52020,63630,6531,97916,673332,721931,566733
1,256043717,190208,122775,1054405,388349,47245,66553,12122,68369,705046,655281,490797
1,256171446,169553,147100,1038239,436360,63510,73659,24077,77686,678893,609604,529907
1,256166829,235603,98218,1129816,329111,57892,127428,12796,59869,707039,760280,496351
1,255060233,243370,183588,1338558,373201,63627,64118,8768,60039,781107,765608,559311
1,255490572,169562,110133,1213167,426315,99587,46624,42719,79249,646384,732935,571038
1,255301334,304344,47244,1419095,699249,65807,65935,11862,61290,573220,748877,459915
1,251487072,776347,76721,4876330,945837,31452,58641,10380,104671,510945,671159,346793
1,251880811,923435,72344,4362585,770862,45085,31093,17330,144152,498564,988644,311870
1,252784111,782405,68677,3423117,891797,73273,48248,36070,107188,692344,826419,470646
1,253472859,683088,116364,3074123,880613,82544,82523,3250,96714,705708,520592,654304
1,254524040,440907,136362,2419413,810416,49891,90291,16285,170050,747157,480755,672631
1,254767701,592568,62419,2198765,789935,53541,74013,7371,129355,709927,728306,628592
1,255477083,642193,102651,1898721,691450,38524,16861,7167,151207,754689,600907,543473
1,255208006,764921,75445,2052735,793950,61147,45983,10352,167641,730602,646623,527347
1,255190208,723951,106903,2275550,750276,31106,48699,3487,198579,686463,673235,541191
1,254635995,679933,69510,2349309,773875,70674,48061,2993,149503,791557,696110,583621
1,254900711,599158,120024,2212196,763334,49343,35351,28814,254960,714380,676542,563549
1,255416226,585406,91755,2097627,697901,106513,49184,5681,191619,613271,642451,505386
1,255726019,591690,77471,1675772,681604,61001,39837,6887,137636,709337,802058,593283
1,255335325,551472,100143,1710141,746466,90435,56655,22561,193711,841964,1032441,528751
